Date,Area,Region,Trigger,Depth,Width
1/21/2019,Thomas Fork,Salt Lake,Skier,18,80
1/21/2019,Murdock Peak,Salt Lake,Skier,14,50
1/21/2019,Bountiful,Salt Lake,,,
1/20/2019,White Pine Gulch,Salt Lake,Unknown,,
1/19/2019,Grandview Peak,Salt Lake,Snowmobiler,18,
1/19/2019,Grandview Peak,Salt Lake,Natural,18,300
1/19/2019,White Pine,Salt Lake,Natural,4,100
1/19/2019,Bountiful,Salt Lake,,2,50
1/19/2019,Two Dogs,Salt Lake,Skier,2,60

1/18/2019,Silver Fork,Salt Lake,Natural,,
1/18/2019,Scotts Peak,Salt Lake,Skier,,
1/17/2019,Depth Hoar Bowl,Salt Lake,Natural,14,35
1/17/2019,West Monitor,Salt Lake,Skier,2,80
1/17/2019,Scotts Bluff,Salt Lake,Unknown,,90
1/16/2019,Mt Olympus,Salt Lake,Natural,,
1/16/2019,Raymond Glade,Salt Lake,Skier,5,50
1/16/2019,Flagstaff Ridge,Salt Lake,Skier,6,60
1/16/2019,Sunset Peak,Salt Lake,Skier,12,250
1/7/2019,Scotts Bluff,Salt Lake,Skier,2,80
1/7/2019,Bear Trap,Salt Lake,Skier,12,70
1/7/2019,Wyatt Couloir,Salt Lake,Natural,,80
1/7/2019,Diving Board,Salt Lake,Natural,,70
1/5/2019,Maybird Gulch,Salt Lake,Skier,2,30
1/5/2019,Tuscarora,Salt Lake,Snowboarder,12,50
1/5/2019,Santiago,Salt Lake,Skier,18,60
1/5/2019,Red Pine Gulch,Salt Lake,Skier,15,25
1/5/2019,Lake Peak,Salt Lake,Skier,5,30
1/5/2019,Ivory Slabs,Salt Lake,Skier,12,200
